      -34.588539720675726     9729.762985518258574         1         1         1      294.9379548940      862.5627405652     1026.2729301279
      -40.768480627843360     9730.513517685552870         1         2         3      365.1519908484      571.0496282252      597.9409456527
      -29.315644184662858     9732.995322984439554         1         4         5      434.9411456952      631.9888656187      875.1112365707
      -34.984896811888973     9730.754836498030272         1         1         1      293.5193172105      862.4972602734     1025.6607856499
      -31.202072437244340     9732.798055948607725         1         6         4      333.8913408978      775.9566818219      935.1343481228
      -37.205044279385220     9732.248977094639486         1         6         6      352.9771526178      701.0939623145      762.8134245712
      -34.270674814874099     9730.268386552477750         1         1         7      287.6948331594      968.9727301825     1130.0444844750
      -37.522672378259131     9733.431075240343489         1         8         6      363.0983967958      647.8432889226      718.3115054234
      -31.273633234615318     9732.504637485279090         1         9        10      429.4860874503      572.4855151866      826.7078192601
      -37.322527675844469     9730.083391744887194         1         2         2      335.0100303642      635.6400252237      651.0990137002
      -36.105852520914993     9729.447633938749277         1         3        11      329.7592545666      708.1636949330      834.9049720826
      -41.360483019987782     9736.606221126601667         1         3         3      398.7770231938      500.8905375079      531.1777117021
      -33.662707672244892     9735.343999066250035         1         8         3      342.1843821604      627.4535798524      694.9803078534
      -35.074712604683270     9736.157603558167466         1        12         1      319.2029385022      747.5712119208      893.9425217184
      -33.617619069245336     9739.195655802352121         1         6         9      339.8776349860      562.6890142221      708.6019140506
      -34.190949379266954     9730.677669967657494         1         6         6      353.8082930490      700.2555111435      763.1261506723
      -34.395787258777034     9733.756052742422980         1        10        10      407.0949545815      519.7225066884      788.1216828201
      -33.520524312111547     9732.750127583098219         1        12        10      367.2625103667      582.1392649425      790.5867791671
